Date,Close,Symbol
2010-08-16,247.64,WIKI/AAPL.4
2010-08-17,251.97,WIKI/AAPL.4
2010-08-18,253.07,WIKI/AAPL.4
2010-08-19,249.88,WIKI/AAPL.4
2010-08-20,249.64,WIKI/AAPL.4
2010-08-23,245.8,WIKI/AAPL.4
2010-08-24,239.93,WIKI/AAPL.4
2010-08-25,242.89,WIKI/AAPL.4
2010-08-26,240.28,WIKI/AAPL.4
2010-08-27,241.62,WIKI/AAPL.4
2010-08-30,242.5,WIKI/AAPL.4
2010-08-31,243.1,WIKI/AAPL.4
2010-09-01,250.33,WIKI/AAPL.4
2010-09-02,252.17,WIKI/AAPL.4
2010-09-03,258.77,WIKI/AAPL.4
2010-09-07,257.81,WIKI/AAPL.4
2010-09-08,262.92,WIKI/AAPL.4
2010-09-09,263.07,WIKI/AAPL.4
2010-09-10,263.41,WIKI/AAPL.4
2010-09-13,267.04,WIKI/AAPL.4
2010-09-14,268.06,WIKI/AAPL.4
2010-09-15,270.22,WIKI/AAPL.4
2010-09-16,276.57,WIKI/AAPL.4
2010-09-17,275.37,WIKI/AAPL.4
2010-09-20,283.23,WIKI/AAPL.4
2010-09-21,283.77,WIKI/AAPL.4
2010-09-22,287.75,WIKI/AAPL.4
2010-09-23,288.92,WIKI/AAPL.4
2010-09-24,292.32,WIKI/AAPL.4
2010-09-27,291.164,WIKI/AAPL.4
2010-09-28,286.86,WIKI/AAPL.4
2010-09-29,287.37,WIKI/AAPL.4
2010-09-30,283.75,WIKI/AAPL.4
2010-10-01,282.52,WIKI/AAPL.4
2010-10-04,278.64,WIKI/AAPL.4
2010-10-05,288.94,WIKI/AAPL.4
2010-10-06,289.19,WIKI/AAPL.4
2010-10-07,289.22,WIKI/AAPL.4
2010-10-08,294.07,WIKI/AAPL.4
2010-10-11,295.36,WIKI/AAPL.4
2010-10-12,298.54,WIKI/AAPL.4
2010-10-13,300.14,WIKI/AAPL.4
2010-10-14,302.31,WIKI/AAPL.4
2010-10-15,314.74,WIKI/AAPL.4
2010-10-18,318.0,WIKI/AAPL.4
2010-10-19,309.49,WIKI/AAPL.4
2010-10-20,310.53,WIKI/AAPL.4
2010-10-21,309.52,WIKI/AAPL.4
2010-10-22,307.47,WIKI/AAPL.4
2010-10-25,308.84,WIKI/AAPL.4
2010-10-26,308.05,WIKI/AAPL.4
2010-10-27,307.83,WIKI/AAPL.4
2010-10-28,305.24,WIKI/AAPL.4
2010-10-29,300.98,WIKI/AAPL.4
2010-11-01,304.18,WIKI/AAPL.4
2010-11-02,309.36,WIKI/AAPL.4
2010-11-03,312.8,WIKI/AAPL.4
2010-11-04,318.27,WIKI/AAPL.4
2010-11-05,317.13,WIKI/AAPL.4
2010-11-08,318.62,WIKI/AAPL.4
2010-11-09,316.08,WIKI/AAPL.4
2010-11-10,318.03,WIKI/AAPL.4
2010-11-11,316.655,WIKI/AAPL.4
2010-11-12,308.03,WIKI/AAPL.4
2010-11-15,307.035,WIKI/AAPL.4
2010-11-16,301.59,WIKI/AAPL.4
2010-11-17,300.5,WIKI/AAPL.4
2010-11-18,308.43,WIKI/AAPL.4
2010-11-19,306.73,WIKI/AAPL.4
2010-11-22,313.36,WIKI/AAPL.4
2010-11-23,308.73,WIKI/AAPL.4
2010-11-24,314.795,WIKI/AAPL.4
2010-11-26,315.0,WIKI/AAPL.4
2010-11-29,316.87,WIKI/AAPL.4
2010-11-30,311.15,WIKI/AAPL.4
2010-12-01,316.4,WIKI/AAPL.4
2010-12-02,318.15,WIKI/AAPL.4
2010-12-03,317.44,WIKI/AAPL.4
2010-12-06,320.15,WIKI/AAPL.4
2010-12-07,318.21,WIKI/AAPL.4
2010-12-08,321.01,WIKI/AAPL.4
2010-12-09,319.7575,WIKI/AAPL.4
2010-12-10,320.56,WIKI/AAPL.4
2010-12-13,321.67,WIKI/AAPL.4
2010-12-14,320.29,WIKI/AAPL.4
2010-12-15,320.36,WIKI/AAPL.4
2010-12-16,321.25,WIKI/AAPL.4
2010-12-17,320.61,WIKI/AAPL.4
2010-12-20,322.21,WIKI/AAPL.4
2010-12-21,324.205,WIKI/AAPL.4
2010-12-22,325.16,WIKI/AAPL.4
2010-12-23,323.6,WIKI/AAPL.4
2010-12-27,324.68,WIKI/AAPL.4
2010-12-28,325.47,WIKI/AAPL.4
2010-12-29,325.29,WIKI/AAPL.4
2010-12-30,323.66,WIKI/AAPL.4
2010-12-31,322.56,WIKI/AAPL.4
2011-01-03,329.57,WIKI/AAPL.4
2011-01-04,331.29,WIKI/AAPL.4
2011-01-05,334.0,WIKI/AAPL.4
2011-01-06,333.73,WIKI/AAPL.4
2011-01-07,336.12,WIKI/AAPL.4
2011-01-10,342.455,WIKI/AAPL.4
2011-01-11,341.64,WIKI/AAPL.4
2011-01-12,344.42,WIKI/AAPL.4
2011-01-13,345.68,WIKI/AAPL.4
2011-01-14,348.48,WIKI/AAPL.4
2011-01-18,340.65,WIKI/AAPL.4
2011-01-19,338.84,WIKI/AAPL.4
2011-01-20,332.68,WIKI/AAPL.4
2011-01-21,326.72,WIKI/AAPL.4
2011-01-24,337.45,WIKI/AAPL.4
2011-01-25,341.4,WIKI/AAPL.4
2011-01-26,343.85,WIKI/AAPL.4
2011-01-27,343.21,WIKI/AAPL.4
2011-01-28,336.1,WIKI/AAPL.4
2011-01-31,339.32,WIKI/AAPL.4
2011-02-01,345.03,WIKI/AAPL.4
2011-02-02,344.32,WIKI/AAPL.4
2011-02-03,343.44,WIKI/AAPL.4
2011-02-04,346.5,WIKI/AAPL.4
2011-02-07,351.88,WIKI/AAPL.4
2011-02-08,355.2,WIKI/AAPL.4
2011-02-09,358.16,WIKI/AAPL.4
2011-02-10,354.54,WIKI/AAPL.4
2011-02-11,356.85,WIKI/AAPL.4
2011-02-14,359.18,WIKI/AAPL.4
