,datadate_full,tic,Close,Volume,Low,High,Open
616,2018-10-24,SONY,53.08000183105469,1589900,53.06999969482422,55.0099983215332,55.0
617,2018-10-24,AAPL,19.233333587646484,300874500,19.048667907714844,20.29599952697754,20.06999969482422
618,2018-10-25,TSLA,54.95000076293945,119423200,54.1875,55.345001220703125,54.4275016784668
619,2018-10-25,AAPL,53.47999954223633,1818600,52.63999938964844,53.869998931884766,52.9900016784668
620,2018-10-25,SONY,20.99066734313965,312610500,20.067333221435547,21.399999618530273,21.148000717163086
621,2018-10-26,TSLA,54.07500076293945,189033600,53.16749954223633,55.04750061035156,53.974998474121094
622,2018-10-26,SONY,52.40999984741211,2727300,51.7400016784668,52.75,52.029998779296875
623,2018-10-26,AAPL,22.059999465942383,411382500,20.44333267211914,22.65999984741211,20.549999237060547
624,2018-10-29,TSLA,53.060001373291016,183742000,51.522499084472656,54.92250061035156,54.79750061035156
625,2018-10-29,AAPL,51.0,2568700,50.310001373291016,52.970001220703125,52.65999984741211
626,2018-10-29,SONY,22.323333740234375,217290000,21.766666412353516,23.143999099731445,22.49799919128418
627,2018-10-30,TSLA,53.32500076293945,146640000,52.317501068115234,53.79499816894531,52.787498474121094
628,2018-10-30,SONY,53.43000030517578,2709200,53.0,54.88999938964844,54.0
629,2018-10-30,AAPL,21.99333381652832,136900500,21.483999252319336,22.52666664123535,21.892667770385742
630,2018-10-31,TSLA,54.71500015258789,153435600,54.154998779296875,55.11249923706055,54.220001220703125
631,2018-10-31,AAPL,54.130001068115234,1766900,53.70000076293945,54.47999954223633,54.279998779296875
632,2018-10-31,SONY,22.488000869750977,114364500,21.940000534057617,22.799999237060547,22.16933250427246
633,2018-11-01,TSLA,55.55500030517578,233292800,54.20249938964844,55.59000015258789,54.76250076293945
634,2018-11-01,SONY,55.65999984741211,1538300,54.900001525878906,55.689998626708984,55.4900016784668
635,2018-11-01,AAPL,22.95199966430664,120001500,22.315332412719727,23.189332962036133,22.55066680908203
636,2018-11-02,TSLA,51.869998931884766,365314800,51.35749816894531,53.412498474121094,52.38750076293945
637,2018-11-02,AAPL,53.65999984741211,1563400,53.279998779296875,54.90999984741211,54.709999084472656
638,2018-11-02,SONY,23.0939998626709,117120000,22.727333068847656,23.280000686645508,22.916000366210938
639,2018-11-05,TSLA,50.397499084472656,264654800,49.54249954223633,51.09749984741211,51.07500076293945
640,2018-11-05,SONY,53.31999969482422,958900,53.16999816894531,53.7400016784668,53.7400016784668
641,2018-11-05,AAPL,22.760000228881836,117465000,22.00933265686035,22.930667877197266,22.700000762939453
642,2018-11-06,TSLA,50.942501068115234,127531600,50.42250061035156,51.18000030517578,50.47999954223633
643,2018-11-06,AAPL,53.5,711000,53.22999954223633,53.869998931884766,53.619998931884766
644,2018-11-06,SONY,22.737333297729492,101443500,22.4060001373291,23.253332138061523,22.60466766357422
645,2018-11-07,TSLA,52.48749923706055,133697600,51.032501220703125,52.51499938964844,51.49250030517578
646,2018-11-07,SONY,55.2599983215332,1616100,54.2599983215332,55.470001220703125,54.4900016784668
647,2018-11-07,AAPL,23.21066665649414,110617500,22.719999313354492,23.41200065612793,22.889333724975586
648,2018-11-08,TSLA,52.122501373291016,101450400,51.6875,52.529998779296875,52.494998931884766
649,2018-11-08,AAPL,54.40999984741211,1076600,54.06999969482422,55.0099983215332,54.939998626708984
650,2018-11-08,SONY,23.426666259765625,106360500,23.229333877563477,23.838666915893555,23.233333587646484
651,2018-11-09,TSLA,51.11750030517578,137463200,50.5625,51.502498626708984,51.38750076293945
652,2018-11-09,SONY,54.06999969482422,957800,53.7599983215332,54.34000015258789,54.18000030517578
653,2018-11-09,AAPL,23.367332458496094,76482000,23.01533317565918,23.600000381469727,23.266666412353516
654,2018-11-12,TSLA,48.54249954223633,204542000,48.4474983215332,49.962501525878906,49.75
655,2018-11-12,AAPL,51.529998779296875,1650000,51.45000076293945,52.720001220703125,52.689998626708984
656,2018-11-12,SONY,22.0853328704834,104122500,22.022666931152344,23.318666458129883,23.224666595458984
657,2018-11-13,TSLA,48.057498931884766,187531600,47.86249923706055,49.29499816894531,47.907501220703125
658,2018-11-13,SONY,51.2400016784668,949800,51.09000015258789,51.91999816894531,51.459999084472656
659,2018-11-13,AAPL,22.582000732421875,81729000,22.14666748046875,22.979999542236328,22.21066665649414
660,2018-11-14,TSLA,46.70000076293945,243204000,46.48249816894531,48.619998931884766,48.474998474121094
661,2018-11-14,AAPL,51.13999938964844,871900,50.720001220703125,51.65999984741211,51.59000015258789
662,2018-11-14,SONY,22.933332443237305,75604500,22.476667404174805,23.140666961669922,22.84666633605957
663,2018-11-15,TSLA,47.852500915527344,185915200,46.724998474121094,47.99250030517578,47.09749984741211
664,2018-11-15,SONY,51.650001525878906,712800,50.599998474121094,51.779998779296875,50.70000076293945
665,2018-11-15,AAPL,23.229333877563477,69385500,22.6026668548584,23.238666534423828,22.82200050354004
666,2018-11-16,TSLA,48.38249969482422,147713200,47.3650016784668,48.74250030517578,47.625
667,2018-11-16,AAPL,50.810001373291016,834900,50.040000915527344,50.97999954223633,50.09000015258789
668,2018-11-16,SONY,23.62066650390625,108093000,23.007999420166016,23.713333129882812,23.012666702270508
669,2018-11-19,TSLA,46.46500015258789,167701200,46.247501373291016,47.67499923706055,47.5
670,2018-11-19,SONY,50.9900016784668,1579800,50.91999816894531,52.06999969482422,51.880001068115234
671,2018-11-19,AAPL,23.564666748046875,145633500,23.525333404541016,24.450000762939453,23.756000518798828
672,2018-11-20,TSLA,44.244998931884766,271300800,43.877498626708984,45.36750030517578,44.592498779296875
673,2018-11-20,AAPL,49.529998779296875,1412800,49.31999969482422,50.11000061035156,49.709999084472656
674,2018-11-20,SONY,23.166000366210938,120070500,22.23666763305664,23.31999969482422,22.78333282470703
675,2018-11-21,TSLA,44.19499969482422,124496800,44.13750076293945,45.067501068115234,44.932498931884766
676,2018-11-21,SONY,50.52000045776367,783100,50.36000061035156,50.91999816894531,50.540000915527344
677,2018-11-21,AAPL,22.54599952697754,70302000,22.49333381652832,23.540000915527344,23.46666717529297
678,2018-11-23,TSLA,43.0724983215332,94496000,43.025001525878906,44.150001525878906,43.73500061035156
679,2018-11-23,AAPL,49.689998626708984,362600,49.65999984741211,50.29999923706055,49.86000061035156
680,2018-11-23,SONY,21.722000122070312,63039000,21.703332901000977,22.5,22.290000915527344
681,2018-11-26,TSLA,43.654998779296875,179994000,42.564998626708984,43.73749923706055,43.560001373291016
682,2018-11-26,SONY,51.02000045776367,1280400,50.43000030517578,51.130001068115234,50.540000915527344
683,2018-11-26,AAPL,23.066667556762695,119881500,21.666667938232422,23.08133316040039,21.666667938232422
684,2018-11-27,TSLA,43.560001373291016,165549600,42.720001220703125,43.692501068115234,42.877498626708984
685,2018-11-27,AAPL,51.369998931884766,957000,50.880001068115234,51.619998931884766,51.130001068115234
686,2018-11-27,SONY,22.92799949645996,95374500,22.366666793823242,23.130666732788086,22.670000076293945
687,2018-11-28,TSLA,45.23500061035156,184250000,43.73249816894531,45.3224983215332,44.182498931884766
688,2018-11-28,SONY,52.90999984741211,1042000,51.45000076293945,52.91999816894531,51.81999969482422
689,2018-11-28,AAPL,23.191333770751953,61914000,22.81399917602539,23.218666076660156,23.06599998474121
690,2018-11-29,TSLA,44.88750076293945,167080000,44.42499923706055,45.70000076293945,45.665000915527344
691,2018-11-29,AAPL,51.880001068115234,1100000,51.61000061035156,52.25,52.11000061035156
692,2018-11-29,SONY,22.744667053222656,46210500,22.636667251586914,23.166667938232422,23.133333206176758
693,2018-11-30,TSLA,44.64500045776367,158126000,44.25749969482422,45.08250045776367,45.0724983215332
