Date,AAPL,holdings,cash,total,returns
2012-03-07,1895.3214645385742,1895.3214645385742,98530.50003051758,100425.82149505615,1.529308481984515e-05
2012-03-08,1935.6786727905273,1935.6786727905273,98530.50003051758,100466.1787033081,0.00040186087254401315
2012-03-09,1947.035789489746,1947.035789489746,98530.50003051758,100477.53582000732,0.00011304417910396047
2012-03-12,1971.4286804199219,1971.4286804199219,98530.50003051758,100501.9287109375,0.0002427695975135702
2012-03-13,2028.928565979004,2028.928565979004,98530.50003051758,100559.42859649658,0.0005721271849863374
2012-03-14,2105.642890930176,2105.642890930176,98530.50003051758,100636.14292144775,0.0007628755057766945
2012-03-15,2091.2857055664062,2091.2857055664062,98530.50003051758,100621.78573608398,-0.00014266430476150838
2012-03-16,2091.32137298584,2091.32137298584,98530.50003051758,100621.82140350342,3.5447014945511057e-07
2012-03-19,2146.7857360839844,2146.7857360839844,98530.50003051758,100677.28576660156,0.0005512160515930287
2012-03-20,2164.1429901123047,2164.1429901123047,98530.50003051758,100694.64302062988,0.0001724048666604805
2012-03-21,2151.785659790039,2151.785659790039,98530.50003051758,100682.28569030762,-0.0001227208315315309
2012-03-22,2140.500068664551,2140.500068664551,98530.50003051758,100671.00009918213,-0.00011209112951804379
2012-03-23,2128.7500381469727,2128.7500381469727,98530.50003051758,100659.25006866455,-0.00011671713309691079
2012-03-26,2167.78564453125,2167.78564453125,98530.50003051758,100698.28567504883,0.0003877994954031294
2012-03-27,2194.5714950561523,2194.5714950561523,98530.50003051758,100725.07152557373,0.0002660010579658145
2012-03-28,2205.7857513427734,2205.7857513427734,98530.50003051758,100736.28578186035,0.00011133530229145983
2012-03-29,2178.071403503418,2178.071403503418,98530.50003051758,100708.571434021,-0.0002751178249649211
2012-03-30,2141.2500381469727,2141.2500381469727,98530.50003051758,100671.75006866455,-0.00036562295375786036
2012-04-02,2209.3929290771484,2209.3929290771484,98530.50003051758,100739.89295959473,0.0006768819543088167
2012-04-03,2247.57137298584,2247.57137298584,98530.50003051758,100778.07140350342,0.0003789803898641697
2012-04-04,2229.678535461426,2229.678535461426,98530.50003051758,100760.178565979,-0.0001775469333281654
